매장명,상점번호,계정ID,조회월,총_광고비,총_광고매출,총_노출수,총_클릭수,평균_클릭률,총_주문수,평균_전환율
상상오리 파주운정점,14394275,sooji6015,2025-09,869618,11557300,47406,1358,2.9%,284,21%
상상오리 파주운정점,14394275,sooji6015,2025-10,1046890,13143600,90262,1640,1.8%,314,19%
상상오리 파주운정점,14394275,sooji6015,2025-11,881419,12326300,76540,1389,1.8%,299,22%
상상오리 파주운정점,14394275,sooji6015,2025-12,945311,13292000,74963,1475,2.0%,334,23%
상상오리 파주운정점,14394275,sooji6015,2026-01,909579,12204200,71520,1419,2.0%,308,22%
상상오리 파주운정점,14394275,sooji6015,2026-02,635231,8494800,65091,991,1.5%,216,22%
상상오리 평택점,14368325,zxcbnm234,2025-09,2162151,19830600,184292,3041,1.7%,487,16%
상상오리 평택점,14368325,zxcbnm234,2025-10,1804518,17217500,153274,2538,1.7%,430,17%
상상오리 평택점,14368325,zxcbnm234,2025-11,1203012,14697500,78124,1692,2.2%,370,22%
상상오리 평택점,14368325,zxcbnm234,2025-12,1173150,14864800,64355,1650,2.6%,389,24%
상상오리 평택점,14368325,zxcbnm234,2026-01,1237851,17023400,66845,1741,2.6%,441,25%
상상오리 평택점,14368325,zxcbnm234,2026-02,929277,11414600,52320,1307,2.5%,305,23%
상상오리 풍무검단신도시점,14506144,shadow717000,2025-09,1564353,10841600,171434,2403,1.4%,268,11%
상상오리 풍무검단신도시점,14506144,shadow717000,2025-10,1418529,9893800,230175,2179,0.9%,249,11%
상상오리 풍무검단신도시점,14506144,shadow717000,2025-11,902817,9536800,109092,1427,1.3%,254,18%
상상오리 풍무검단신도시점,14506144,shadow717000,2025-12,812630,9652800,69232,1330,1.9%,261,20%
상상오리 풍무검단신도시점,14506144,shadow717000,2026-01,1618902,12699300,217485,2382,1.1%,352,15%
상상오리 풍무검단신도시점,14506144,shadow717000,2026-02,1514430,9972200,190209,2130,1.1%,285,13%
상상오리 한대역점,14416608,geunwoo0731,2025-09,2411870,19084850,268324,3397,1.3%,466,14%
상상오리 한대역점,14416608,geunwoo0731,2025-10,1544960,16236150,157232,2176,1.4%,393,18%
상상오리 한대역점,14416608,geunwoo0731,2025-11,1080620,13860000,72794,1522,2.1%,338,22%
상상오리 한대역점,14416608,geunwoo0731,2025-12,1317760,15220350,101352,1856,1.8%,396,21%
상상오리 한대역점,14416608,geunwoo0731,2026-01,1397990,15613350,98076,1969,2.0%,405,21%
상상오리 한대역점,14416608,geunwoo0731,2026-02,1113280,12550350,84559,1568,1.9%,318,20%
상상오리 해운대점,14781071,ssdkhud,2025-09,3939752,21188500,517350,5672,1.1%,529,9%
상상오리 해운대점,14781071,ssdkhud,2025-10,3301173,20367000,564849,4643,0.8%,511,11%
상상오리 해운대점,14781071,ssdkhud,2025-11,2133711,16296300,327449,3001,0.9%,438,15%
상상오리 해운대점,14781071,ssdkhud,2025-12,1959006,15276900,189100,2806,1.5%,418,15%
상상오리 해운대점,14781071,ssdkhud,2026-01,1600031,13687900,199781,2361,1.2%,377,16%
상상오리 해운대점,14781071,ssdkhud,2026-02,2925922,12221400,366340,3343,0.9%,315,9%
상상오리 호평평내점,14647485,gkgusal13,2025-09,138563,4560400,15137,497,3.3%,125,25%
상상오리 호평평내점,14647485,gkgusal13,2025-10,246423,7086900,50444,881,1.7%,194,22%
상상오리 호평평내점,14647485,gkgusal13,2025-11,191405,5854900,23085,657,2.8%,156,24%
상상오리 호평평내점,14647485,gkgusal13,2025-12,95124,2672600,19151,346,1.8%,69,20%
상상오리 호평평내점,14647485,gkgusal13,2026-01,62083,989900,34860,181,0.5%,28,15%
상상오리 호평평내점,14647485,gkgusal13,2026-02,104169,2278900,21218,303,1.4%,59,19%
상상오리 홍대점,14261886,dance2508,2025-09,1356435,11160600,64238,1935,3.0%,309,16%
상상오리 홍대점,14261886,dance2508,2025-10,1222544,10662900,57932,1744,3.0%,286,16%
상상오리 홍대점,14261886,dance2508,2025-11,742359,7582200,36261,1059,2.9%,208,20%
상상오리 홍대점,14261886,dance2508,2025-12,1172072,11108900,77602,1672,2.2%,292,17%
상상오리 홍대점,14261886,dance2508,2026-01,981400,9439200,55547,1400,2.5%,250,18%
상상오리 홍대점,14261886,dance2508,2026-02,2492692,13338500,383796,2677,0.7%,392,15%
상상오리 화곡점,14199029,shadow717,2025-09,2445120,16178700,113604,3020,2.7%,398,13%
상상오리 화곡점,14199029,shadow717,2025-10,2994901,17678800,246669,3693,1.5%,442,12%
상상오리 화곡점,14199029,shadow717,2025-11,1896296,13821900,173984,2292,1.3%,351,15%
상상오리 화곡점,14199029,shadow717,2025-12,2330436,20170600,125456,2876,2.3%,512,18%
상상오리 화곡점,14199029,shadow717,2026-01,1340310,16056700,46235,1910,4.1%,420,22%
상상오리 화곡점,14199029,shadow717,2026-02,1122669,9375800,75835,1579,2.1%,264,17%
상상오리 화도점,14812543,audgkr1029,2025-11,1707040,10591200,224328,2800,1.2%,285,10%
상상오리 화도점,14812543,audgkr1029,2025-12,2424445,16224100,279459,3318,1.2%,430,13%
상상오리 화도점,14812543,audgkr1029,2026-01,2344979,14865200,382787,3089,0.8%,398,13%
상상오리 화도점,14812543,audgkr1029,2026-02,1500810,10871300,239763,2010,0.8%,297,15%
